aandreea1597,12345,aandreea1597@mail.com,Andreea,Ionescu,25-Dec-1995,0761058861
aalex1830,12345,aalex1830@mail.com,Alex,Petrescu,02-Apr-1997,0734821127
ccristina1277,12345,ccristina1277@mail.com,Cristina,Gerogescu,01-Jan-1996,0740830984
iionut1238,12345,iionut1238@mail.com,Ionut,Petrescu,06-Jul-1990,0716334529
aalexandra995,12345,aalexandra995@mail.com,Alexandra,Ionescu,01-Jan-1996,0729396735
aandreea1244,12345,aandreea1244@mail.com,Andreea,Marinescu,06-Jul-1990,0743059727
iioana1217,12345,iioana1217@mail.com,Ioana,Ionescu,02-Apr-1997,0758471099
aalex1168,12345,aalex1168@mail.com,Alex,Marinescu,06-Jul-1990,0712720751
ccristina851,12345,ccristina851@mail.com,Cristina,Popescu,06-Jul-1990,0788010764
aandreea343,12345,aandreea343@mail.com,Andreea,Pop,25-Dec-1995,0797649584
iioana402,12345,iioana402@mail.com,Ioana,Ionescu,01-Jan-1996,0749178801
ssam1181,12345,ssam1181@mail.com,Sam,Popescu,06-Jul-1990,0719004365
aalex1459,12345,aalex1459@mail.com,Alex,Ionescu,06-Jul-1990,0719889894
aalex83,12345,aalex83@mail.com,Alex,Gerogescu,25-Dec-1995,0742786963
aaris134,12345,aaris134@mail.com,Aris,Petrescu,01-Jan-1996,0738411382
ssam829,12345,ssam829@mail.com,Sam,Marinescu,01-Jan-1996,0717777531
ssam1605,12345,ssam1605@mail.com,Sam,Ionescu,25-Dec-1995,0756017337
bbogdan1851,12345,bbogdan1851@mail.com,Bogdan,Marinescu,25-Dec-1995,0715780897
iioana1254,12345,iioana1254@mail.com,Ioana,Popescu,01-Jan-1996,0789986511
ccatalin1458,12345,ccatalin1458@mail.com,Catalin,Gerogescu,25-Dec-1995,0737286263
